2.5,-0.51,2.1,-2102.638
2.666194,-0.51582575,2.1,-2013.6174
2.9104629,-0.49859416,2.1,-1805.4368
3.13249,-0.4967801,2.1,-1802.7999
3.2229557,-0.5216375,2.1,-1779.2194
3.5621521,-0.54105604,2.1,-1775.4735
4.0606914,-0.5806659,2.1,-1765.3961
4.1600785,-0.5777817,2.1,-1760.4214
4.202487,-0.5827443,2.1,-1759.0188
4.5312314,-0.60530186,2.1,-1748.0033
4.822835,-0.6242531,2.1,-1746.1321
5.0427294,-0.6483189,2.1,-1746.1869
5.2406826,-0.65210503,2.1,-1744.0753
4.8275647,-0.6313406,2.1,-1743.5101
4.6764035,-0.62314993,2.1,-1743.8593
,,,
4.494494678,-0.604840826,,
